The list of highly confident candidate RNAs predicted by PredSynRNA using the developmental brain gene expression data from the BrainSpan.,,,,,
gene_symbol,ensembl_gene_id,description,predicted probability by SVM,predicted probability by RF,predicted probability by ANN
PHKG1,ENSG00000164776,phosphorylase kinase catalytic subunit gamma 1,0.812,0.621,0.932
PRDX1,ENSG00000117450,peroxiredoxin 1,0.792,0.715,0.856
TMEM134,ENSG00000172663,transmembrane protein 134,0.777,0.755,0.831
MRPL14,ENSG00000180992,mitochondrial ribosomal protein L14,0.781,0.743,0.838
ARPP19,ENSG00000128989,cAMP regulated phosphoprotein 19,0.791,0.792,0.778
RILP,ENSG00000167705,Rab interacting lysosomal protein,0.794,0.706,0.861
HIF3A,ENSG00000124440,hypoxia inducible factor 3 subunit alpha,0.796,0.652,0.913
AQP5,ENSG00000161798,aquaporin 5,0.782,0.667,0.911
ACAP1,ENSG00000072818,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",0.821,0.683,0.855
SPRYD3,ENSG00000167778,SPRY domain containing 3,0.774,0.821,0.763
DSE,ENSG00000111817,dermatan sulfate epimerase,0.804,0.71,0.843
NRN1L,ENSG00000188038,neuritin 1 like,0.789,0.689,0.879
GRIN2C,ENSG00000161509,glutamate ionotropic receptor NMDA type subunit 2C,0.818,0.663,0.876
SOCS1,ENSG00000185338,suppressor of cytokine signaling 1,0.797,0.62,0.938
SSR4,ENSG00000180879,signal sequence receptor subunit 4,0.777,0.742,0.835
TMEM119,ENSG00000183160,transmembrane protein 119,0.791,0.778,0.785
PLAC9,ENSG00000189129,placenta associated 9,0.773,0.661,0.919
NUDT22,ENSG00000149761,nudix hydrolase 22,0.77,0.758,0.824
S100A13,ENSG00000189171,S100 calcium binding protein A13,0.798,0.626,0.928
OAF,ENSG00000184232,out at first homolog,0.722,0.754,0.875
TNFSF12,ENSG00000239697,TNF superfamily member 12,0.804,0.69,0.857
MRPL53,ENSG00000204822,mitochondrial ribosomal protein L53,0.83,0.652,0.869
KCNJ16,ENSG00000153822,potassium inwardly rectifying channel subfamily J member 16,0.793,0.734,0.817
VAMP8,ENSG00000118640,vesicle associated membrane protein 8,0.834,0.595,0.914
CD320,ENSG00000167775,CD320 molecule,0.685,0.828,0.828
RPL27A,ENSG00000166441,ribosomal protein L27a,0.818,0.627,0.894
FXYD7,ENSG00000221946,FXYD domain containing ion transport regulator 7,0.765,0.802,0.771
TUBG2,ENSG00000037042,tubulin gamma 2,0.775,0.769,0.791
ID4,ENSG00000172201,"inhibitor of DNA binding 4, HLH protein",0.831,0.69,0.814
UQCRC1,ENSG00000010256,ubiquinol-cytochrome c reductase core protein 1,0.77,0.863,0.701
DIRAS1,ENSG00000176490,DIRAS family GTPase 1,0.879,0.661,0.794
CDA,ENSG00000158825,cytidine deaminase,0.728,0.729,0.877
CTSF,ENSG00000174080,cathepsin F,0.698,0.861,0.773
NR1D1,ENSG00000126368,nuclear receptor subfamily 1 group D member 1,0.736,0.788,0.808
CDC42EP5,ENSG00000167617,CDC42 effector protein 5,0.781,0.654,0.897
KCTD17,ENSG00000100379,potassium channel tetramerization domain containing 17,0.781,0.743,0.806
SYCE3,ENSG00000217442,synaptonemal complex central element protein 3,0.829,0.576,0.925
GNG5,ENSG00000174021,G protein subunit gamma 5,0.786,0.663,0.879
NDUFA12,ENSG00000184752,NADH:ubiquinone oxidoreductase subunit A12,0.761,0.763,0.804
SDSL,ENSG00000139410,serine dehydratase like,0.755,0.759,0.813
CCDC80,ENSG00000091986,coiled-coil domain containing 80,0.736,0.698,0.893
CNN3,ENSG00000117519,calponin 3,0.731,0.87,0.725
PHLDA3,ENSG00000174307,pleckstrin homology like domain family A member 3,0.856,0.689,0.781
SAMD1,ENSG00000141858,sterile alpha motif domain containing 1,0.821,0.687,0.818
DBP,ENSG00000105516,D-box binding PAR bZIP transcription factor,0.746,0.725,0.855
C7orf61,ENSG00000185955,chromosome 7 open reading frame 61,0.721,0.697,0.907
TAP1,ENSG00000168394,"transporter 1, ATP binding cassette subfamily B member",0.676,0.773,0.876
MRPL28,ENSG00000086504,mitochondrial ribosomal protein L28,0.761,0.766,0.797
ZFP36,ENSG00000128016,ZFP36 ring finger protein,0.735,0.672,0.917
GMFG,ENSG00000130755,glia maturation factor gamma,0.771,0.732,0.82
ZNF688,ENSG00000229809,zinc finger protein 688,0.784,0.703,0.835
S100A11,ENSG00000163191,S100 calcium binding protein A11,0.816,0.651,0.854
PLCD3,ENSG00000161714,phospholipase C delta 3,0.808,0.714,0.799
CLDND2,ENSG00000160318,claudin domain containing 2,0.828,0.593,0.898
BCL2A1,ENSG00000140379,BCL2 related protein A1,0.819,0.581,0.919
HBQ1,ENSG00000086506,hemoglobin subunit theta 1,0.813,0.719,0.786
GGT5,ENSG00000099998,gamma-glutamyltransferase 5,0.72,0.735,0.863
MAPKAPK3,ENSG00000114738,MAPK activated protein kinase 3,0.758,0.662,0.897
ABI3,ENSG00000108798,ABI family member 3,0.739,0.719,0.859
TMEM205,ENSG00000105518,transmembrane protein 205,0.645,0.939,0.733
CHCHD5,ENSG00000125611,coiled-coil-helix-coiled-coil-helix domain containing 5,0.812,0.679,0.824
VIM,ENSG00000026025,vimentin,0.717,0.847,0.749
HLA-E,ENSG00000204592,"major histocompatibility complex, class I, E",0.712,0.785,0.816
MRPS24,ENSG00000062582,mitochondrial ribosomal protein S24,0.788,0.7,0.825
FOXH1,ENSG00000160973,forkhead box H1,0.81,0.692,0.81
TMPRSS5,ENSG00000166682,transmembrane serine protease 5,0.759,0.645,0.908
TNFRSF1A,ENSG00000067182,TNF receptor superfamily member 1A,0.676,0.792,0.843
NFKBIB,ENSG00000104825,NFKB inhibitor beta,0.791,0.754,0.765
CHI3L1,ENSG00000133048,chitinase 3 like 1,0.761,0.683,0.866
RFX4,ENSG00000111783,regulatory factor X4,0.684,0.693,0.93
NECAB2,ENSG00000103154,N-terminal EF-hand calcium binding protein 2,0.868,0.633,0.805
ZNF444,ENSG00000167685,zinc finger protein 444,0.826,0.68,0.799
ALOX5,ENSG00000012779,arachidonate 5-lipoxygenase,0.726,0.784,0.795
UBC,ENSG00000150991,ubiquitin C,0.626,0.976,0.703
RAC1,ENSG00000136238,Rac family small GTPase 1,0.797,0.752,0.755
RAB20,ENSG00000139832,"RAB20, member RAS oncogene family",0.836,0.506,0.96
C19orf25,ENSG00000119559,chromosome 19 open reading frame 25,0.775,0.702,0.823
MRPS26,ENSG00000125901,mitochondrial ribosomal protein S26,0.654,0.912,0.734
EVI5L,ENSG00000142459,ecotropic viral integration site 5 like,0.738,0.845,0.717
SCAND1,ENSG00000171222,SCAN domain containing 1,0.76,0.69,0.85
FNDC4,ENSG00000115226,fibronectin type III domain containing 4,0.854,0.694,0.751
TCF7L1,ENSG00000152284,transcription factor 7 like 1,0.756,0.683,0.858
COX6A2,ENSG00000156885,cytochrome c oxidase subunit 6A2,0.774,0.599,0.923
SCD5,ENSG00000145284,stearoyl-CoA desaturase 5,0.757,0.744,0.795
MRPL23,ENSG00000214026,mitochondrial ribosomal protein L23,0.758,0.755,0.782
IL17RC,ENSG00000163702,interleukin 17 receptor C,0.731,0.657,0.906
NFIC,ENSG00000141905,nuclear factor I C,0.875,0.596,0.823
PDLIM3,ENSG00000154553,PDZ and LIM domain 3,0.712,0.652,0.929
CD37,ENSG00000104894,CD37 molecule,0.785,0.675,0.832
PKN1,ENSG00000123143,protein kinase N1,0.734,0.754,0.803
CKMT2,ENSG00000131730,"creatine kinase, mitochondrial 2",0.701,0.741,0.849
ZNF524,ENSG00000171443,zinc finger protein 524,0.708,0.808,0.774
ALDOC,ENSG00000109107,"aldolase, fructose-bisphosphate C",0.613,0.842,0.835
